course_id,opening_date,closing_date,temps_min,temps_jours
course-v1:USPC+37008+session01,2017-04-07 15:06:56,2017-06-27 12:19:16,116472,81
course-v1:USPC+37010+session01,2017-11-21 15:36:44,2017-12-26 16:12:30,50435,35
course-v1:USPC+37011+session01,2017-09-18 10:48:09,2017-12-24 22:27:19,140379,97
course-v1:USPC+37012+session01,2017-11-01 09:45:45,2018-01-12 08:07:01,103581,72
course-v1:UT2J+59001+session03,2018-01-08 12:25:27,2018-01-12 14:17:30,5872,4
course-v1:uved+34003+session02,2017-05-12 09:53:53,2017-09-14 12:18:09,180144,125
course-v1:uved+34006+session01,2017-09-07 17:09:54,2017-12-08 10:03:55,132054,92
course-v1:uved+34007+session01,2017-10-18 12:50:03,2017-12-06 15:03:08,70693,49
course-v1:uved+34008+session01,2017-09-18 11:13:07,2017-11-23 15:57:39,95324,66
ENSCachan/20013S02/session02,2017-04-02 05:51:37,2017-06-20 09:14:36,113962,79
ENSDeLyon/14003S03/session03,2017-03-06 21:06:16,2017-06-07 11:08:55,133322,93
gobelins/83002/session01,2017-02-23 04:37:05,2017-05-16 23:58:13,119241,82
inria/41009/session01,2016-01-21 15:27:53,2016-04-13 07:24:23,119036,83
inria/41009S02/session02,2017-03-03 08:57:58,2017-06-15 09:56:20,149818,104
inria/41011/session01,2016-05-19 10:10:48,2016-07-10 20:00:50,75470,52
inria/41014/session01,2017-02-15 07:58:16,2017-12-19 04:03:06,441844,307
isaesupaero/25001/Trimestre_4_2014,2015-01-26 11:11:02,2015-07-19 14:43:23,250772,174
itii/119002/session01,2017-03-02 16:07:29,2017-07-07 20:27:22,183139,127
MinesTelecom/04002/Trimestre_1_2014,2014-03-17 09:02:51,2014-11-21 16:34:49,359011,249
MinesTelecom/04006S04/session04,2016-05-02 10:18:41,2017-01-27 10:30:49,388812,270
MinesTelecom/04006S06/session06,2017-01-30 10:38:44,2017-04-04 09:45:23,92106,64
MinesTelecom/04010S03/session03,2017-02-23 09:15:25,2017-05-07 19:52:08,105756,73
MinesTelecom/04012S03/session03,2017-04-20 08:16:48,2017-07-31 10:49:15,147032,102
MinesTelecom/04014S03/session03,2016-10-18 08:08:04,2017-01-06 10:57:12,115369,80
MinesTelecom/04015S02/session02,2017-02-22 13:13:50,2017-04-24 13:46:26,87872,61
MinesTelecom/04016/session01,2016-09-20 11:09:39,2016-11-19 12:41:24,86491,60
MinesTelecom/04017/session01,2016-03-31 08:42:30,2016-06-20 09:14:35,116672,81
MinesTelecom/04017S02/session02,2017-02-02 08:34:43,2019-08-22 21:04:12,1341389,931
MinesTelecom/04018/session01,2016-05-10 09:23:03,2017-04-12 09:34:55,485291,337
MinesTelecom/04018S02/session02,2017-04-06 09:41:40,2017-07-17 09:58:20,146896,102
MinesTelecom/04019S02/session02,2017-02-23 10:18:55,2017-04-19 13:49:13,79410,55
MinesTelecom/04021/session01,2016-10-13 09:17:41,2017-01-26 10:28:24,151270,105
MinesTelecom/04021S02/session02,2017-06-01 08:39:47,2017-08-30 00:35:01,129115,90
OBSPM/62002/session01,2016-11-08 15:44:20,2017-03-12 15:12:01,178527,124
Paris1/16004S02/session02,2017-02-21 09:25:42,2017-04-28 13:19:38,95273,66
parisdescartes/70002S03/session03,2017-01-11 12:43:18,2017-06-06 14:15:50,210332,146
TUMx/AUTONAVx/2T2014,2014-05-01 06:34:45,2014-07-25 14:03:28,122848,85
ubordeaux/28001/Trimestre_4_2014,2014-10-20 10:23:30,2015-12-03 09:29:24,588905,409
umontpellier/08003/session01,2015-11-02 10:01:06,2016-01-04 07:52:07,90591,63
univ-toulouse/101001/session01,2016-05-23 13:18:34,2016-07-26 08:08:23,91849,64
UPVD/95001/session01,2017-01-02 09:26:25,2017-03-15 13:03:59,103897,72
